Date,Open,High,Low,Close,Adj Close,Volume
1997-04-14,19.218750,19.968750,19.125000,19.843750,8.661932,1275200
1997-04-15,20.062500,20.781250,20.062500,20.750000,9.057514,4507200
1997-04-16,20.750000,21.406250,20.625000,21.156250,9.234843,4518800
1997-04-17,21.156250,21.406250,20.968750,21.406250,9.524039,2514400
1997-04-18,21.406250,21.468750,20.937500,21.031250,9.357200,1482800
1997-04-21,21.031250,21.281250,20.906250,21.062500,9.371104,1665200
1997-04-22,21.062500,21.843750,20.937500,21.750000,9.676980,2032000
1997-04-23,21.750000,22.437500,21.687500,22.281250,9.913344,2754000
1997-04-24,22.281250,22.656250,21.781250,21.812500,9.704787,3488800
1997-04-25,21.812500,22.093750,21.593750,21.781250,9.690885,1624400
1997-04-28,21.781250,22.156250,21.750000,22.062500,9.816018,1176400
1997-04-29,22.062500,22.375000,21.906250,21.968750,9.774308,1990400
1997-04-30,22.000000,22.718750,22.000000,22.250000,9.899441,2520400
1997-05-01,22.250000,22.687500,22.187500,22.687500,10.094098,1916000
1997-05-02,22.687500,23.406250,22.500000,23.343750,10.386067,2656800
1997-05-05,23.343750,23.937500,23.218750,23.906250,10.636340,2783200
1997-05-06,23.906250,23.968750,23.500000,23.593750,10.497294,2909200
1997-05-07,23.531250,23.531250,23.093750,23.093750,10.274841,2206800
1997-05-08,23.125000,23.812500,23.125000,23.562500,10.483399,2438000
1997-05-09,23.687500,24.218750,23.687500,24.156250,10.747570,2463600
1997-05-12,24.156250,24.156250,23.562500,24.062500,10.705858,4339600
1997-05-13,24.062500,24.468750,23.906250,24.281250,10.803185,4728400
1997-05-14,24.281250,24.812500,23.937500,23.968750,10.664143,3125600
1997-05-15,23.968750,24.625000,23.906250,24.593750,10.942225,2544000
1997-05-16,24.593750,24.937500,24.375000,24.625000,10.956123,3684800
1997-05-19,24.625000,24.625000,24.093750,24.500000,10.900509,2057200
1997-05-20,24.375000,24.375000,23.937500,24.250000,10.789282,2964800
1997-05-21,24.250000,24.906250,24.156250,24.187500,10.761473,3183200
1997-05-22,24.312500,24.625000,24.312500,24.375000,10.844894,2825600
1997-05-23,24.375000,24.500000,24.125000,24.375000,10.844894,1413200
1997-05-27,24.375000,24.593750,24.187500,24.406250,10.858804,3052000
1997-05-28,24.406250,24.531250,24.187500,24.468750,10.886605,1858800
1997-05-29,24.468750,24.593750,24.250000,24.437500,10.872701,2618000
1997-05-30,24.437500,24.531250,24.187500,24.406250,10.858804,1871200
1997-06-02,24.406250,24.718750,24.250000,24.437500,10.872701,2430000
1997-06-03,24.437500,24.781250,24.250000,24.281250,10.803185,1461600
1997-06-04,24.281250,24.593750,24.187500,24.531250,10.914413,3090400
1997-06-05,24.531250,24.968750,24.500000,24.843750,11.053454,4568800
1997-06-06,24.843750,25.531250,24.781250,25.031250,11.136872,4148800
1997-06-09,25.031250,25.468750,24.968750,25.468750,11.331531,2533600
1997-06-10,25.468750,26.187500,25.468750,25.906250,11.526175,3492400
1997-06-11,25.906250,26.156250,25.656250,25.875000,11.512273,3858400
1997-06-12,26.000000,26.500000,26.000000,26.437500,11.762539,3646000
1997-06-13,26.468750,27.343750,26.468750,27.187500,12.096232,3680400
1997-06-16,27.187500,27.187500,26.937500,26.968750,11.998901,2969600
1997-06-17,26.968750,27.093750,26.812500,26.968750,11.998901,1834800
1997-06-18,26.968750,26.968750,26.781250,26.937500,11.985001,1504000
1997-06-19,26.937500,27.125000,26.812500,26.906250,11.971095,2359200
1997-06-20,26.906250,27.000000,26.781250,26.781250,11.915482,2460000
1997-06-23,26.781250,26.937500,26.343750,26.343750,11.720824,1773600
1997-06-24,26.421875,27.156250,26.421875,27.093750,12.054521,2710400
